"Lucado, Max ",13
"Wood, Naomi ",13
" Moses, Harry ",13
"Russo, Gus ",13
" Phillips, Craig (ILT)",12
"Govenar, Alan B. ",12
"Hendrix, Jimi ",12
"Hendee, Barb ",12
"Blank, Steve ",12
"Drury, Tom ",12
"Dubois, Jennifer ",12
" Brakefield, Jay F. ",12
"Alers, Rochelle ",12
"Agins, Donna Brown ",12
"Hamilton, Adam ",11
"Thomas, Hugh ",11
"Kirby, Matthew ",11
"Savage, Jeff ",11
"Britain, Kristen ",11
"Bavati, Robyn ",11
"Bourdain, Anthony ",11
"Viets, Elaine ",11
"Lalor, Peter ",11
"Paul, Ron ",11
"Nichols, Nikita Lynnette ",10
"Tanenbaum, Robert K. ",10
"Soto, Gary ",10
"Wiseman, Eva ",10
"Marani, Diego ",10
"Taylor, Chloe ",10
"Marciano, Francesca ",10
"Dossey, Larry, M.D. ",10
" Zhang, Nancy (ILT)",10
"Ward, Douglas ",10
"Farris, Scott ",10
" Ostrom, Bob (ILT)",10
"Rowe, Rosemary ",10
"Russell, Laura B. ",10
" Landry, Judith (TRN)",10
" Katz, Rebecca (FRW)",10
"Rodríguez, Ana María ",10
"Koch, Gini ",10
"Rosenberg, Pam ",10
"Hart, Carolyn ",10
"Yoshimura, Tadashi ",9
None,9
"Shteyngart, Gary ",9
"Bell, David ",9
"Reeder, Heidi, Ph.d. ",9
" Gaskin, Ina May (FRW)",9
"Woods, Sherryl ",9
"DiTerlizzi, Tony ",9
" DiTerlizzi, Tony (ILT)",9
"Quinn, Ella ",9
"Palika, Liz ",8
"James, Bill ",8
"Averbeck, Jim ",8
"Nimmo, Jenny ",8
" Jacobs, Holly ",8
"Murray, Aaron R. ",8
"Neely, Pat ",8
"Harvey, Jacqueline ",8
" Harper, Clifford (ILT)",8
"Andrews, Beth ",8
"Robertson, Phil ",8
" Bertozzi, Nick (ILT)",8
"York, Rebecca ",8
" Schlabach, Mark (CON)",8
" O'Brien, Kathleen ",8
"Hattemer, Kate ",8
" Volkwein, Ann ",8
" Howe, John (TRN)",8
"Gros, Frederic ",8
"Scott, Regina ",8
" Neely, Gina ",8
"Young, Felicity ",7
"Coughlin, Con ",7
